product_id,name,category,price,description,features,in_stock,rating
1001,Ultra HD Smart TV 55",Electronics,799.99,"55-inch Ultra HD Smart TV with vibrant colors and crystal-clear picture quality","4K resolution, Smart TV capabilities, Voice control, Multiple HDMI ports",true,4.7
1002,Wireless Noise-Cancelling Headphones,Electronics,249.99,"Premium wireless headphones with active noise cancellation for immersive audio experience","Active noise cancellation, 30-hour battery life, Bluetooth 5.0, Comfortable ear cushions",true,4.8
1003,Professional Blender,Kitchen Appliances,129.99,"High-performance blender for smoothies, soups, and more","1000W motor, 5 speed settings, Pulse function, Dishwasher-safe parts",true,4.5
1004,Ergonomic Office Chair,Furniture,199.99,"Comfortable ergonomic office chair with adjustable features","Lumbar support, Adjustable height, Breathable mesh back, 360-degree swivel",false,4.6
1005,Smartphone XS Pro,Electronics,899.99,"Latest flagship smartphone with advanced camera system and all-day battery life","6.7-inch OLED display, Triple camera system, 5G capability, 256GB storage",true,4.9
1006,Robot Vacuum Cleaner,Home Appliances,349.99,"Smart robot vacuum with mapping technology and app control","Smart mapping, App control, Automatic recharging, HEPA filter",true,4.4
1007,Cast Iron Dutch Oven,Kitchen Appliances,79.99,"Versatile cast iron dutch oven for cooking and baking","Pre-seasoned, Oven-safe up to 500°F, Even heat distribution, Durable construction",true,4.7
1008,Mechanical Gaming Keyboard,Electronics,149.99,"Responsive mechanical gaming keyboard with customizable RGB lighting","Mechanical switches, RGB lighting, Programmable keys, Anti-ghosting",true,4.5
1009,Fitness Smartwatch,Electronics,199.99,"Advanced fitness tracker and smartwatch with health monitoring features","Heart rate monitor, GPS tracking, Sleep analysis, 7-day battery life",true,4.6
1010,Portable Bluetooth Speaker,Electronics,89.99,"Waterproof portable Bluetooth speaker with rich sound","Waterproof IPX7, 12-hour battery life, Built-in microphone, Compact design",false,4.3
1011,Espresso Machine,Kitchen Appliances,299.99,"Semi-automatic espresso machine for cafe-quality coffee at home","15-bar pressure, Milk frother, Cup warmer, Easy-to-clean design",true,4.8
1012,Cordless Stick Vacuum,Home Appliances,199.99,"Lightweight cordless stick vacuum with powerful suction","40-minute runtime, HEPA filtration, Convertible to handheld, Wall-mountable",true,4.4
1013,Smart Home Hub,Electronics,129.99,"Central smart home hub compatible with multiple devices and ecosystems","Voice control, App management, Compatible with 100+ devices, Energy monitoring",true,4.2
1014,Memory Foam Mattress (Queen),Furniture,599.99,"Premium memory foam mattress for comfortable sleep","Medium-firm support, Cooling gel layer, Hypoallergenic cover, Motion isolation",true,4.7
1015,Digital Air Fryer,Kitchen Appliances,119.99,"Digital air fryer for healthier cooking with less oil","5.5-quart capacity, Digital controls, 8 presets, Dishwasher-safe basket",true,4.6
1016,Samsung QLED 65" Smart TV,Electronics,1299.99,"65-inch QLED Smart TV with Quantum Dot technology for brilliant colors","4K resolution, Quantum Processor, Ambient Mode, Anti-reflection screen, Smart Hub",true,4.8
